targetRight_x[pixels] targetRight_y[pixels] targetLeft_x[pixels] targetLeft_y[pixels] dQ0[deg/s] dQ1[deg/s] dQ2[deg/s] dQ3[deg/s] 
-8.952 -6.000 -5.000 -6.000 0.000 0.000 0.000 0.000 
-8.048 -6.000 -5.000 -6.000 0.000 0.000 0.000 0.000 
-8.048 -6.000 -5.000 -6.000 0.000 0.000 0.000 0.000 
-8.048 -6.000 -5.000 -6.000 0.000 0.000 0.000 0.000 
-8.952 -6.000 -5.000 -6.000 0.000 0.000 0.000 0.000 
-8.952 -6.000 -5.000 -6.000 0.000 0.000 0.000 0.000 
-8.952 -6.000 -5.000 -6.000 0.000 0.000 0.000 0.000 
-8.952 -6.000 -5.000 -6.000 0.000 0.000 0.000 0.000 
-9.000 -6.000 -5.000 -5.048 0.000 0.000 0.000 0.000 
-9.000 -6.000 -5.000 -5.048 0.000 0.000 0.000 0.000 
-9.000 -6.000 -5.000 -5.048 0.000 0.000 0.000 0.000 
-9.000 -6.000 -5.000 -5.952 0.000 0.000 0.000 0.000 
-9.000 -6.000 -5.000 -5.952 0.000 0.000 0.000 0.000 
-9.000 -6.000 -5.000 -5.952 0.000 0.000 0.000 0.000 
-9.000 -6.000 -5.952 -5.000 0.000 0.000 0.000 0.000 
-9.000 -6.000 -5.952 -5.000 0.000 0.000 0.000 0.000 
-9.000 -6.000 -5.952 -5.000 0.000 0.000 0.000 0.000 
-9.000 -6.000 -5.952 -5.000 0.000 0.000 0.000 0.000 
-8.098 -5.952 -5.048 -5.000 0.000 0.000 0.000 0.000 
-8.098 -5.952 -5.048 -5.000 0.000 0.000 0.000 0.000 
-8.098 -5.952 -5.048 -5.000 0.000 0.000 0.000 0.000 
-8.952 -5.048 -5.002 -5.000 0.000 0.000 0.000 0.000 
-8.952 -5.048 -5.002 -5.000 0.000 0.000 0.000 0.000 
-8.952 -5.048 -5.002 -5.000 0.000 0.000 0.000 0.000 
-9.000 -5.000 -5.000 -5.000 0.000 0.000 0.000 0.000 
-9.000 -5.000 -5.000 -5.000 0.000 0.000 0.000 0.000 
-9.000 -5.000 -5.000 -5.000 0.000 0.000 0.000 0.000 
-9.000 -5.000 -5.000 -5.000 0.000 0.000 0.000 0.000 
-9.000 -5.000 -5.000 -5.000 0.000 0.000 0.000 0.000 
-9.000 -5.000 -5.000 -5.000 0.000 0.000 0.000 0.000 
-9.000 -5.000 -5.000 -5.000 0.000 0.000 0.000 0.000 
-9.000 -5.000 -5.000 -5.000 0.000 0.000 0.000 0.000 
-9.000 -5.000 -5.000 -5.000 0.000 0.000 0.000 0.000 
-9.000 -5.000 -5.000 -5.000 0.000 0.000 0.000 0.000 
-9.000 -5.000 -5.000 -5.000 0.000 0.000 0.000 0.000 
