targetRight_x[pixels] targetRight_y[pixels] targetLeft_x[pixels] targetLeft_y[pixels] dQ0[deg/s] dQ1[deg/s] dQ2[deg/s] dQ3[deg/s] 
-3.000 2.000 -3.048 2.000 0.471 0.359 -0.128 0.597 
-3.000 2.000 -3.048 2.000 0.471 0.359 -0.129 0.597 
-3.000 1.000 -3.000 2.000 0.429 0.269 -0.093 0.540 
-3.000 1.000 -3.000 2.000 0.429 0.269 -0.093 0.539 
-3.000 1.000 -3.000 2.000 0.429 0.269 -0.093 0.539 
-3.000 1.000 -3.000 2.000 0.430 0.269 -0.093 0.539 
-3.000 1.000 -3.000 2.000 0.430 0.269 -0.093 0.539 
-3.000 1.000 -3.000 2.000 0.430 0.269 -0.094 0.539 
-3.000 1.000 -3.000 2.000 0.430 0.268 -0.094 0.539 
-3.000 1.000 -3.000 2.000 0.430 0.268 -0.094 0.539 
-3.000 1.000 -3.000 2.000 0.430 0.268 -0.094 0.539 
-2.050 1.000 -2.953 2.000 -0.150 -0.236 0.272 -1.099 
-2.050 1.000 -2.953 2.000 -0.151 -0.236 0.272 -1.099 
-2.002 1.000 -2.048 2.000 0.286 0.194 -0.063 0.329 
-2.002 1.000 -2.048 2.000 0.286 0.194 -0.063 0.329 
-2.000 1.000 -2.000 1.000 0.309 0.216 -0.081 0.404 
-2.000 1.000 -2.000 1.000 0.309 0.216 -0.081 0.404 
-2.000 1.000 -2.000 1.998 0.309 0.216 -0.081 0.404 
-2.000 1.000 -2.000 1.998 0.309 0.216 -0.081 0.404 
-2.000 1.000 -2.000 1.000 0.309 0.216 -0.081 0.404 
-2.000 1.000 -2.000 1.000 0.309 0.216 -0.081 0.404 
-2.000 1.000 -2.000 1.000 0.309 0.216 -0.081 0.404 
-2.000 1.000 -2.000 1.000 0.309 0.216 -0.081 0.404 
-2.000 1.000 -2.000 1.000 0.309 0.216 -0.081 0.404 
-1.050 1.000 -2.000 1.000 -0.296 -0.307 0.304 -1.307 
-1.050 1.000 -2.000 1.000 -0.297 -0.307 0.304 -1.306 
-1.000 0.000 -1.000 1.000 0.121 0.051 -0.013 0.133 
-1.000 0.000 -1.000 1.000 0.121 0.051 -0.013 0.133 
-1.000 0.000 -1.000 1.000 0.121 0.051 -0.013 0.133 
-1.000 0.000 -1.000 1.000 0.121 0.051 -0.013 0.133 
-1.000 0.950 -1.002 1.000 0.183 0.157 -0.064 0.259 
-1.000 0.950 -1.002 1.000 0.183 0.157 -0.064 0.259 
-1.000 0.950 -1.002 1.000 0.183 0.157 -0.064 0.259 
-1.000 0.048 -1.950 1.000 -0.365 -0.415 0.357 -1.438 
-1.000 0.000 -1.000 1.000 0.121 0.051 -0.013 0.133 
-1.000 0.000 -1.000 1.000 0.121 0.051 -0.013 0.133 
-1.000 0.000 -1.000 1.000 0.121 0.051 -0.013 0.133 
-1.000 0.000 -1.000 1.000 0.121 0.051 -0.013 0.133 
-1.000 0.952 -1.000 1.000 0.184 0.159 -0.065 0.263 
-1.000 0.952 -1.000 1.000 0.184 0.159 -0.065 0.262 
-1.000 1.000 -1.000 1.000 0.187 0.164 -0.068 0.269 
-1.000 1.000 -1.000 1.000 0.187 0.164 -0.068 0.269 
-1.000 0.048 -1.000 1.000 0.124 0.056 -0.016 0.139 
-1.000 0.048 -1.000 1.000 0.124 0.056 -0.016 0.139 
-44.000 -27.000 -42.000 -27.000 4.150 0.103 0.390 5.003 
-44.000 -27.000 -42.000 -27.000 4.149 0.102 0.390 5.000 
-44.000 -27.000 -42.000 -27.000 4.152 0.098 0.388 4.983 
-44.000 -27.000 -42.000 -27.000 4.172 0.102 0.371 5.008 
-44.000 -27.000 -42.000 -27.000 4.189 0.104 0.359 5.023 
-44.000 -27.000 -42.000 -27.000 4.198 0.105 0.351 5.033 
-41.053 -25.052 -38.103 -25.052 4.361 0.543 0.082 6.187 
-41.053 -25.052 -38.103 -25.052 4.373 0.545 0.072 6.199 
-35.105 -22.053 -33.105 -22.053 3.516 0.197 0.181 4.545 
-35.105 -22.053 -33.105 -22.053 3.530 0.201 0.169 4.567 
-31.053 -20.053 -28.055 -20.003 3.593 0.619 -0.115 5.680 
-31.053 -20.053 -28.055 -20.003 3.612 0.624 -0.132 5.707 
-28.053 -18.050 -26.050 -18.003 2.993 0.288 0.030 4.205 
-28.053 -18.050 -26.050 -18.003 3.005 0.291 0.019 4.221 
-28.000 -17.050 -26.000 -17.003 3.068 0.395 -0.029 4.343 
-28.000 -17.050 -26.000 -17.003 3.076 0.396 -0.036 4.352 
-26.050 -17.002 -25.003 -16.050 2.458 -0.084 0.211 2.777 
-26.050 -17.002 -25.003 -16.050 2.465 -0.083 0.206 2.784 
-24.053 -15.003 -22.053 -14.053 2.760 0.425 -0.106 4.125 
-24.053 -15.003 -22.053 -14.053 2.765 0.426 -0.109 4.129 
-22.003 -14.000 -20.053 -13.003 2.573 0.414 -0.127 3.931 
-22.003 -14.000 -20.053 -13.003 2.583 0.415 -0.138 3.942 
-20.003 -12.050 -18.050 -12.003 2.473 0.525 -0.209 3.930 
-20.003 -12.050 -18.050 -12.003 2.480 0.528 -0.216 3.943 
-18.050 -11.050 -17.050 -11.003 1.898 0.137 0.016 2.438 
-18.050 -11.050 -17.050 -11.003 1.902 0.138 0.012 2.445 
-18.050 -11.050 -17.050 -11.003 1.905 0.139 0.010 2.447 
-18.000 -11.000 -16.003 -11.000 2.349 0.566 -0.274 3.911 
-18.000 -11.000 -16.003 -11.000 2.355 0.567 -0.280 3.916 
-17.000 -10.000 -15.050 -10.000 2.282 0.605 -0.306 3.846 
-17.000 -10.000 -15.050 -10.000 2.288 0.606 -0.313 3.855 
-15.003 -9.002 -14.003 -9.000 1.687 0.209 -0.065 2.325 
-15.003 -9.002 -14.003 -9.000 1.695 0.211 -0.073 2.336 
-14.003 -9.000 -13.003 -8.050 1.579 0.164 -0.062 2.213 
-14.003 -9.000 -13.003 -8.050 1.581 0.164 -0.064 2.216 
-13.003 -8.000 -12.003 -8.000 1.525 0.221 -0.099 2.209 
-13.003 -8.000 -12.003 -8.000 1.527 0.222 -0.101 2.212 
-12.000 -7.050 -11.000 -7.000 1.467 0.273 -0.134 2.198 
-12.000 -7.050 -11.000 -7.000 1.469 0.274 -0.136 2.200 
-11.050 -7.000 -11.000 -6.003 0.919 -0.181 0.164 0.657 
-11.050 -7.000 -11.000 -6.003 0.920 -0.181 0.163 0.658 
-11.000 -7.000 -10.000 -6.002 1.359 0.232 -0.130 2.085 
-11.000 -7.000 -10.000 -6.002 1.360 0.232 -0.129 2.086 
-10.003 -6.000 -10.000 -5.050 0.834 -0.148 0.146 0.568 
-10.003 -6.000 -10.000 -5.050 0.834 -0.148 0.145 0.569 
